,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9
5-10B-rep1,2.680002872034358e-06,2.370187586790091e-06,0.7950119602694764,0.009016443047025178,0.1959607222686374,7.725019707071645e-07,4.085024882513092e-07,2.6990782551203745e-06,1.944141687967962e-06
5-10B-rep2,4.74945238644719e-06,4.200403368173475e-06,0.8396435421612134,2.6007796898230882e-06,0.1572281070038514,1.369013953901189e-06,7.239406860120418e-07,0.002667479213017966,0.0004472280318328068
5-10C-rep1,2.861279963439794e-06,2.5305085761076985e-06,0.6982666121354654,0.06303033872679853,0.2220486351370061,8.247544932010906e-07,4.361338552452813e-07,0.008825572940517577,0.007822188383324307
5-11A-rep1,4.170195645773986e-06,0.00039334577234636814,0.8083507475854732,2.2835811911846097e-06,0.14136420937705568,1.2020451127910359e-06,6.356468179828162e-07,4.199877733176524e-06,0.04987920591862369
5-11B-rep1,0.045511726821767226,0.007677939584403018,0.6272786767834355,0.1183245219005766,0.11181334425589487,0.00781205336071853,4.432139401344111e-07,0.012365025552136635,0.0692162685271273
5-11C-rep1,3.6681465067635134e-06,0.03530616892625926,0.7378534801006775,0.010627160793642749,0.16830267905267549,1.057331107696323e-06,5.591214065176691e-07,3.69425517275126e-06,0.04790153227255115
5-11C-rep2,3.2742416720763226e-06,0.04161085637524623,0.8519735393082137,0.00107258606546978,0.044756332731825145,9.437893409160696e-07,4.990800137329694e-07,3.2975466524040652e-06,0.06057867086156583
5-12A-rep1,0.1999630055203599,1.6645842190250052e-06,0.17995889295036116,0.010772902967147287,0.5744337508293423,5.425286153600737e-07,2.868915520296318e-07,0.004574445438719826,0.03029450828968305
5-12A-rep2,0.17603396994591786,0.0016841253572420117,0.25520530538969594,0.03545643029515138,0.5157501237330686,9.020483530736183e-07,4.770071931547904e-07,0.015866396054660867,2.2701687170686205e-06
5-12B-rep1,0.15150832456104305,0.0032658315612100583,0.5212784505919614,1.9611057251699115e-06,0.3015172896609104,1.032298550061249e-06,5.45884078369676e-07,0.022423966369497807,2.5979670236514305e-06
5-12B-rep2,0.22998639410130803,0.005725756713323714,0.5437365731145687,1.9441904169006128e-06,0.2075205895779652,1.023394569018247e-06,5.41175613473361e-07,0.013024602173698737,2.5755585361769836e-06
5-12C-rep1,0.21312029554386838,3.0937894574083937e-06,0.680703945443998,0.014792613569274127,0.050432451068754824,1.0083414773248885e-06,5.332154714338749e-07,3.523088171143639e-06,0.04094253593952715
5-12C-rep2,0.24499698612940105,2.5150432020291734e-06,0.627768316840601,0.03766741373059492,0.02817719233234806,8.197139504103135e-07,4.334683937315913e-07,2.8640342456938395e-06,0.061383458707262986
5-1A-rep1,1.7220358545264892e-06,1.5229640419407078e-06,2.447687992509201e-06,0.0001618477719534338,8.701500112900056e-05,4.963711439011676e-07,2.6248327521308043e-07,1.7342927419931856e-06,0.9997429513918676
5-1A-rep2,9.115740853226957e-07,8.06193755990753e-07,1.2957041150228838e-06,4.991740465998853e-07,0.00028029693821325684,2.6275821742788615e-07,1.3894771754369913e-07,9.180623712384552e-07,0.9997148706474777
5-1B-rep1,1.6999483206055843e-06,0.00992906355874424,0.024583055172005774,9.308843854495669e-07,0.34278527455949664,4.900044852456832e-07,2.5911655771431306e-07,1.7120479962366654e-06,0.6226975147080082
5-1B-rep2,1.4551208985583885e-06,0.010266614649783823,0.02338798051015519,7.968179426341658e-07,0.30691165204685406,4.194337899721191e-07,2.2179845923686084e-07,1.4654779727489096e-06,0.6594293941441439
5-1C-rep1,2.4289486837555833e-06,0.0696214559707583,3.4524882347959944e-06,1.3300818474063224e-06,0.16892260573492957,7.001364306462228e-07,3.702352678434658e-07,2.4462371453174704e-06,0.7614452101667024
5-1C-rep2,3.051577515840899e-06,0.059952424578585725,4.337487877561454e-06,1.6710307166710348e-06,0.11506377853338037,8.796071337652455e-07,4.6514017627395094e-07,3.073297645598504e-06,0.8249703187469681
5-2A-rep1,1.2437039729688e-06,1.0999285669177362e-06,0.20197489220142018,6.810469439128683e-07,4.739702556870839e-06,3.584935598839204e-07,1.895729937110606e-07,1.252556250694895e-06,0.798015542793735
5-2A-rep2,4.783417147762442e-06,4.230441714959495e-06,0.17476670553924256,2.6193786469682244e-06,1.8229397813782026e-05,1.3788041840999776e-06,7.291178034155057e-07,4.817463945064762e-06,0.8251965064395013
