,10_1,10_2,10_3,10_4,10_5,10_6,10_7,10_8,10_9,10_10
2-2A-rep1,3.13720739663585e-06,5.860929991205984e-07,8.676632130327023e-07,0.21002882662099492,0.05602642289988387,0.7339313373323048,3.0720590383975478e-06,1.113644827227804e-06,1.8510719152776399e-06,2.7854074268535027e-06
2-2A-rep2,2.1897275617089605e-06,4.0908484254986223e-07,6.056169744773801e-07,0.2705636946119228,0.0627004974941838,0.6667264457021221,2.1442549047888357e-06,7.773087538778339e-07,1.2920227065432142e-06,1.9441760272879793e-06
2-2B-rep1,3.730509229396503e-06,6.969336311168519e-07,1.0317537908705986e-06,0.1662921680428198,0.0024342549274940337,0.8312576272177458,3.6530401554842603e-06,1.3242549124096765e-06,2.2011426058809086e-06,3.312177615241255e-06
2-2B-rep2,7.254569691239981e-05,3.849504427150665e-07,5.698879503520367e-07,0.17523521456547433,5.339806851906376e-06,0.8246801506137845,2.017752282747571e-06,7.314505887494403e-07,1.2157984387336628e-06,1.8294772736032256e-06
2-2C-rep1,2.898333372933981e-06,5.414665606155881e-07,8.015973854634224e-07,0.7429946076807054,7.510906676871664e-06,0.256985489572953,2.8381455571471093e-06,1.0288494065807843e-06,1.7101271383916572e-06,2.573320243706141e-06
2-2C-rep2,1.9104019334191836e-06,0.9998445231714915,5.283633723138194e-07,0.0001391540864098809,4.95072470655829e-06,3.560985058317413e-06,1.8707298512766383e-06,6.78153836230171e-07,1.1272099414391467e-06,1.6961733990960454e-06
2-3A-rep1,3.6576949859764546e-06,6.83330476173855e-07,1.0116154218013005e-06,0.3457202722434673,0.20220195012870276,0.09747459961647024,3.581737998393049e-06,1.2984073367536332e-06,0.35458969769652954,3.247528610964263e-06
2-3A-rep2,1.093773505558807e-06,2.043387360743309e-07,3.025069477972274e-07,0.26306836554720425,0.27275679455543594,0.09649483207919092,1.0710598181410989e-06,3.780307669133827e-05,0.3676385619424704,9.711199995722581e-07
2-3B-rep1,4.009898883478625e-06,7.491291985695653e-07,1.1090251007651698e-06,0.3139929518484398,0.2987600612492788,0.02195419031192564,3.926627905206558e-06,1.4234325579115866e-06,0.36527801823962025,3.560237089505177e-06
2-3B-rep2,2.0991596857479376e-06,3.9216495446630764e-07,5.805684506411315e-07,0.3751245947187803,0.2811264992720888,0.019391572097358336,2.055567793368378e-06,7.451589997094741e-07,0.3243495975276425,1.8637642462222142e-06
2-3C-rep1,2.908715065306068e-06,5.434060680975699e-07,8.04468669194916e-07,0.5635733953662218,0.21771064879143814,0.0003039178773920945,0.005674273049282971,1.0325346962496925e-06,0.2127298932534117,2.5825377544985507e-06
2-3C-rep2,1.5561112879360165e-06,2.9071266779806716e-07,4.303765576272936e-07,0.5488085969541439,0.23900691095615062,2.9005880639481854e-06,0.00873125031125576,5.523878619752893e-07,0.2034461299898342,1.3816121761906785e-06
2-4A-rep1,2.650048580963947e-06,4.950820026428522e-07,7.329288044257495e-07,0.8891113600327725,0.06418738733101075,4.939684804306174e-06,0.04668757767142387,9.407133545769344e-07,1.56362964960621e-06,2.3528775964429372e-06
2-4A-rep2,0.00010711809132560162,1.931244284589857e-07,2.859050737054583e-07,0.8612680123711397,0.06966473223628727,0.005129336917080025,0.06382842662218162,3.6695886333291773e-07,6.099496261017704e-07,9.178239940480992e-07
