,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_9,12_10,12_11,12_12
4-11B-rep2,1.2295302819724615e-06,0.010028585542002344,2.5758798628916426e-07,0.00021666235662285487,2.7428430730678856e-06,0.06340610386670324,2.0740835997200051e-07,4.025240819412533e-07,5.63383073562796e-07,1.003188922424109e-06,0.9263416337179093,6.080509830873885e-07
4-11C-rep1,2.0442557911537313e-06,2.9861288862920367e-06,4.2827390298878865e-07,0.03426230699415369,4.560337324388491e-06,0.009318403458237447,3.448436750384618e-07,6.692492227740645e-07,9.366984511525269e-07,0.08930982619624608,0.8670964825993839,1.0109647250810485e-06
4-11C-rep2,2.4092830461488157e-06,3.519339277644055e-06,5.047475262361997e-07,0.03864665164352134,5.374642179278334e-06,2.7540094802661677e-06,4.064197951338166e-07,7.887519815550175e-07,1.1039575905723457e-06,0.06199936527945549,0.8993359304411165,1.1914850298736907e-06
4-12A-rep1,8.09505811879605e-07,0.14096262767575868,1.695923842045826e-07,0.0970848456562934,1.8058501212025454e-06,0.7024227352834501,1.3655480901243242e-07,2.650163143848824e-07,3.709236600761437e-07,6.604857765786555e-07,0.05952517312322367,4.003323968066148e-07
4-12C-rep1,1.656955372283078e-06,2.4203831643195704e-06,3.47134026689202e-07,0.03492468189475329,3.696345370167184e-06,0.9640967935800386,2.795103149153069e-07,5.424546673026244e-07,7.592335252578476e-07,0.00022845160632657983,0.0007395514729741038,8.19429466537711e-07
4-12C-rep2,0.0015709062482080107,2.605526104475143e-07,3.736874316528123e-08,8.726818049744631e-07,3.9790907882281213e-07,0.9978952372229906,3.008909633473819e-08,5.8394878008858696e-08,8.17309754345499e-08,0.0005318705359151148,1.5905467133912268e-07,8.821102779569039e-08
4-1A-rep1,1.609712485373706e-07,2.3513735277161758e-07,3.372365883878456e-08,0.11635270751552304,3.590955672157288e-07,1.840034300788491e-07,2.7154095471500645e-08,5.269882733794569e-08,7.375863619295209e-08,1.313384271450462e-07,1.4353989507303276e-07,0.8836458910633382
4-1A-rep2,1.2385573594211944e-06,1.8092119021024628e-06,2.594791692361716e-07,0.14395805188423502,2.7629807282467268e-06,1.4157733418461582e-06,2.0893112956656337e-07,4.0547936992068775e-07,5.675193707430475e-07,1.0105542262569725e-06,1.1044356990992547e-06,0.8560311651934687
4-1B-rep1,0.0493339658841822,3.127371368921571e-07,4.4853105584687906e-08,0.16794120801830703,4.776039120878787e-07,2.447280503199637e-07,3.611546176120107e-08,7.00904394175548e-08,9.810038444405926e-08,1.7468259800115787e-07,1.9091078165935457e-07,0.7827231762756406
4-1B-rep2,0.06001738553041619,3.3013123476385528e-06,4.734778631286348e-07,0.26221907655305304,5.0416771987009045e-06,0.00015746113880996498,3.812416428626296e-07,7.398879308036167e-07,1.0355662064685982e-06,1.8439825325179225e-06,2.015290307548891e-06,0.677591244341691
