,19_1,19_2,19_3,19_4,19_5,19_6,19_7,19_8,19_9,19_10,19_11,19_12,19_13,19_14,19_15,19_16,19_17,19_18,19_19
1-6A-rep3,3.1730473079940865e-07,9.81262768750855e-07,8.530602106888803e-07,5.5017602992593606e-05,2.088479261883909e-06,1.7598602078195e-06,5.638123557739875e-07,3.6342882730491847e-07,5.638414920071682e-07,1.4124996226103596e-06,0.05579982921100118,7.28404515172978e-07,1.3664272135384844e-06,0.9441296400310334,1.4637945136131146e-06,1.380718034960217e-06,2.3442080977611157e-07,7.90802562642862e-07,6.450378456484091e-07
1-6B-rep1,6.649751717571419e-07,2.0564312941224023e-06,0.008540588324908942,1.4496552234132222e-06,4.376823668476705e-06,3.688137082025228e-06,1.1815809275047368e-06,7.616373895520729e-07,1.1816419882762383e-06,2.9601738895787447e-06,0.7208036162132384,1.526516533067497e-06,2.8636199930810483e-06,5.700073695934378e-07,0.27062612032749195,2.893569251655056e-06,4.912754305666614e-07,1.6572840518153571e-06,1.3518050963793164e-06
1-6B-rep2,2.418593316768902e-07,7.47948373954527e-07,6.502284788429137e-07,5.272567433911405e-07,1.5919025134850857e-06,1.3414190599542446e-06,4.2975495264479617e-07,2.770165230837691e-07,4.297771611692859e-07,0.005384225359547356,0.7227552822962447,5.552121104098395e-07,1.041532446802552e-06,2.0731841926741888e-07,0.27185012556876653,1.0524253462228227e-06,1.7868268223031302e-07,6.027738029852631e-07,4.916674953499182e-07
1-6C-rep2,2.2913560360297084e-07,7.086003295456336e-07,3.984642275811166e-05,4.995188373052528e-07,1.508155756387318e-06,1.2708497284602173e-06,4.07146417683749e-07,2.6244324659589205e-07,4.0716745786288453e-07,0.00011871121429423868,0.6682558266357922,5.260035292597052e-07,0.3212195140457054,1.9641181842144667e-07,1.0570514929999374e-06,0.010357823049717548,1.6928254933300428e-07,5.710630978158931e-07,4.658018672997473e-07
1-7A-rep1,8.293674266336228e-07,2.564813248513334e-06,2.2297188885905233e-06,1.808032650258571e-06,0.0004314478634672596,4.599902207940517e-06,1.4736861988613756e-06,9.499260553316569e-07,1.473762354809867e-06,3.69197513750873e-06,0.15337475269663514,1.9038952768694434e-06,0.8399119238064339,7.109220995916567e-07,3.826049128915121e-06,0.004263499110649275,0.0019885614891281063,2.0669905699231607e-06,1.6859924425927093e-06
1-7A-rep2,2.3500840868332518e-07,7.267619401808234e-07,6.318100651067553e-07,5.123216349470459e-07,1.5468101804436685e-06,1.3034219373370195e-06,4.1758168619996043e-07,2.691697352239258e-07,4.1760326564435625e-07,1.0461529764751829e-06,0.24005260134479584,5.394851364405487e-07,0.7532168141560944,2.0144590438159185e-07,1.0841439975285775e-06,0.005110980246223794,0.0016096090959336275,5.856995934513212e-07,4.777404902361307e-07
1-7B-rep2,3.247497882134173e-07,1.004286559266596e-06,8.730759294277225e-07,7.079591040097534e-07,2.1374821493401365e-06,0.02096320683548564,5.770413276487195e-07,3.719561142393873e-07,5.770711475178747e-07,0.026411704791277375,0.18209911107019,7.454953836968204e-07,0.7318713799320075,2.783709534093111e-07,1.4981401540600888e-06,0.03864379229115319,2.399211260916753e-07,8.093575034002477e-07,6.601726461380266e-07
1-7C-rep1,5.688632263469508e-07,1.759205742440174e-06,0.00019631998108189582,1.2401298311671868e-06,3.7442210460613557e-06,3.1550735257480187e-06,1.0108015564464542e-06,6.515544055309435e-07,1.01085379182148e-06,2.5323262294502074e-06,0.39572996759047424,1.3058820192912137e-06,0.587296158790982,4.876215610451163e-07,2.624287597682656e-06,0.01675446837627567,4.202691142868778e-07,1.4177491021173691e-06,1.156422436775482e-06
1-7C-rep2,2.5975775914400716e-07,8.032991418060546e-07,6.983476363090868e-07,5.662755669060503e-07,1.709708808056338e-06,1.440688712198526e-06,4.6155830625210343e-07,2.9751670437192204e-07,4.615821582842551e-07,1.1563260838773052e-06,0.50104130593281,5.962997278200755e-07,0.4815572898219638,2.2266069969186194e-07,1.1983180387682487e-06,0.017390164566322152,1.919058190237351e-07,6.47381150227184e-07,5.280525913577743e-07
1-8A-rep1,7.419914297414855e-08,2.2946035594969213e-07,1.9948122544216245e-07,1.6175517486018634e-07,4.883739708533749e-07,4.115290649639353e-07,1.318429557960551e-07,8.49848896049773e-08,1.3184976906835036e-07,0.0011309565722469443,0.9978238201370881,1.7033150003206907e-07,3.195279437708855e-07,6.360246233107212e-08,3.422964987843671e-07,3.228697366878008e-07,0.0010417554263161667,1.849227783715418e-07,1.508368791490211e-07
1-8A-rep2,1.2107866132394395e-07,3.744349545247994e-07,3.2551480741781523e-07,2.639531839487069e-07,7.969319354131531e-07,6.715359003417039e-07,2.1514222338578777e-07,1.3867891533085314e-07,2.1515334132941454e-07,0.002591779949810091,0.9974024717143686,2.7794808913584897e-07,5.214078510428403e-07,1.0378692646943141e-07,5.585617324869077e-07,5.268610112355787e-07,8.945141713663792e-08,3.0175823541966716e-07,2.461366354596303e-07
