,14_1,14_2,14_3,14_4,14_5,14_6,14_7,14_8,14_9,14_10,14_11,14_12,14_13,14_14
1-9B-rep2,9.861152890341757e-07,3.6411521483297973e-07,5.058328600471197e-07,7.216362947950454e-07,3.188767933694362e-07,0.020901058126444334,0.017159405233055626,7.722566343309632e-07,0.6576830465812591,0.0023653648086727447,1.8022709165457497e-06,0.30188385694204223,1.4728133051108425e-06,3.2439121793700815e-07
1-9C-rep1,2.3925839798846727e-06,8.834425746455098e-07,1.227288138523163e-06,1.7508859840526425e-06,7.736818563273153e-07,4.394950514874853e-06,0.02473096607816848,1.8737046998526796e-06,0.7118884013520949,0.0074083933284121795,4.372799580627924e-06,0.2559502093968641,3.573445780990293e-06,7.870613506170523e-07
1-9C-rep2,7.502936735326244e-07,2.7703996192344714e-07,3.8486696127587796e-07,5.49062723798294e-07,2.426199485617814e-07,1.3782185262974545e-06,0.016295035764537294,5.875776124002862e-07,0.6071649745989742,0.008016287089043691,9.95278053013383e-05,0.3684186376453569,1.1206017363361686e-06,2.468156424245897e-07
2-10A-rep1,1.134022146626662e-06,4.1872864373570576e-07,5.817024359765894e-07,8.298741021536139e-07,3.6670493779729055e-07,0.945385429783469,1.5889248235720927e-06,8.880869569200332e-07,0.03501445160595035,2.572736681096819e-07,0.019585260607862306,6.725918821354831e-06,1.6937197145355511e-06,3.7304646769249535e-07
2-10A-rep2,0.005614007748835467,4.483505039371282e-07,6.228534498733158e-07,8.885813699905171e-07,3.926465173025581e-07,0.8387442030176494,1.701329144839711e-06,9.509123405620376e-07,0.015093234063264228,2.7547381931563174e-07,0.004503044191636092,0.1360380178573313,1.8135374756439417e-06,3.9943666210584036e-07
2-10C-rep1,2.828461687008003e-06,1.044386945689145e-06,1.4508738284285687e-06,2.0698600198982003e-06,0.007771567727645694,5.1956166438173734e-06,0.003950961472103346,2.2150536829037826e-06,5.200761561023018e-06,6.416882734511661e-07,0.25989034524591015,0.7283613239532869,4.224451290783377e-06,9.304471208790803e-07
2-10C-rep2,2.900985728212567e-07,1.0711658701591423e-07,1.4880754047479158e-07,2.1229329019033905e-07,9.380820243938664e-08,5.328836449229666e-07,4.064689785906637e-07,2.2718494476500846e-07,5.334113286266196e-07,6.581416788474706e-08,5.30197864835113e-07,0.0560819775623789,4.332769632476573e-07,0.9439144410755352
2-11B-rep1,3.7081204135619526e-07,1.3691939228861047e-07,0.44164588760249396,2.7135917125040944e-07,1.1990824602896952e-07,0.05703364741436003,5.195599214203632e-07,2.9039409713198847e-07,6.818211538476892e-07,8.412549467638806e-08,4.918888424278637e-05,0.4441704775623591,0.057098201655173667,1.219818524860896e-07
2-11B-rep2,1.356460628444658e-06,5.00862281146001e-07,0.42211367457074217,9.926539349216367e-07,4.3863412355564046e-07,0.0598057738555102,1.9005924806188828e-06,1.0622852430886815e-06,2.49415727561741e-06,3.077379066753021e-07,2.4791315653158393e-06,0.4663080188099072,0.05176055402885633,4.4621954475093046e-07
2-11C-rep2,1.7274980127507257e-06,6.378648795237131e-07,0.035181313303666494,1.2641780114860723e-06,5.58615237978461e-07,0.3071350824400073,2.4204681392653086e-06,1.352855813083401e-06,3.176392773048796e-06,3.91914524521964e-07,0.11887834801029325,0.32130472528572723,0.21748843289738828,5.682755257641564e-07
2-12A-rep2,1.6742721473421019e-06,6.182116527322353e-07,8.588264254748178e-07,0.18778743151151917,5.414037684124243e-07,3.075479606093694e-06,2.3458912017200915e-06,1.3111730320364966e-06,0.7204829710643109,3.798392633176544e-07,0.020738395353985573,0.07097734559612394,2.500610549702661e-06,5.507664134953815e-07
2-12B-rep2,1.631044154858995e-06,6.022500608729295e-07,8.366524065594011e-07,1.1935933593650725e-06,5.274252774792678e-07,2.9960738717838813e-06,0.08165568618233603,1.2773198869173447e-06,0.8018849165421172,3.700322024730058e-07,2.9809733979313973e-06,0.020423023985932136,0.09602342137880761,5.365461886530092e-07
2-12C-rep2,1.7655368333878333e-06,6.519104110171342e-07,0.015707195980827007,0.20680078148763678,5.709157238173896e-07,3.243124203858623e-06,2.473765887064589e-06,1.3826451611705839e-06,0.2178895289895845,4.005443268102052e-07,3.226778574766519e-06,0.21443213123591537,0.3451560662961871,5.807887273061832e-07
2-1A-rep1,3.141554365803697e-06,1.1599939231592775e-06,1.6114763126778027e-06,2.2989803298316056e-06,1.0158738978120818e-06,0.36592492145533134,0.16864778421361498,2.4602460057986446e-06,0.0008277588204794382,7.12719074896857e-07,0.021925271460348394,0.3779935247626056,0.05918742255025262,0.005480915893457586
2-1A-rep2,2.021749522063146e-06,7.465149052556508e-07,1.037066714628999e-06,1.4795104084982288e-06,6.537663615611412e-07,0.31378136560402337,0.14723763988578914,1.5832930477103763e-06,3.717440207395999e-06,4.5867086201749554e-07,3.6950449959288653e-06,0.4962902720942703,0.04267466428676809,6.650721240393412e-07
2-1B-rep1,2.2907660643049173e-06,8.458471204248582e-07,1.175060120141877e-06,1.6763759301473904e-06,7.407573384857638e-07,0.17402276488520724,0.6896841036489805,1.7939680182753888e-06,4.212087491676633e-06,5.197021856213625e-07,4.186712345115703e-06,0.10650255429587725,0.02977238232586089,7.535674599837637e-07
2-1B-rep2,1.1966307527558137e-06,4.4184637279296146e-07,6.138178393721601e-07,8.756908976660071e-07,3.8695047275836747e-07,0.20727201851230653,0.670080167067767,9.371176453061818e-07,2.2002741809289587e-06,2.7147757568061933e-07,2.18701892924541e-06,0.10588586503216516,0.01675244492098049,3.93642114288205e-07
