,3_1,3_2,3_3
5-7A-rep2,0.04698751257150513,0.9530102948539156,2.19257457916685e-06
5-7B-rep1,4.789620782252829e-06,0.9999946658315579,5.445476598214339e-07
5-7B-rep2,7.322325341710583e-06,0.9999918451755293,8.324991289611454e-07
5-7C-rep1,6.166609359654967e-06,0.9999931322886432,7.011019971091742e-07
5-7C-rep2,7.699468150542346e-06,0.9999914251541204,8.753777290225099e-07
5-8A-rep1,6.239299406449448e-06,0.9999930513342271,7.093663663930462e-07
5-8A-rep2,1.0302099293569183e-05,0.9999885266213263,1.1712793802691107e-06
5-8B-rep1,0.00017509270525871935,0.9998234701978881,1.4370968533450421e-06
5-8C-rep1,0.2205485194617156,0.779449923549353,1.556988931498478e-06
5-9A-rep1,0.1881629681625984,0.8118363534250639,6.784123377709152e-07
5-9A-rep2,0.11285754795879173,0.8871413221276296,1.1299135787255107e-06
5-9B-rep1,0.14600419585118146,0.8539952958644073,5.082844113892213e-07
5-9B-rep2,0.10363304983417744,0.8963660934390495,8.567267730930674e-07
5-9C-rep1,0.04725907747174177,0.9527401583484492,7.641798090440093e-07
5-9C-rep2,0.05745811077158976,0.9425404310487879,1.4581796224618755e-06
